scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,tokyo,6p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_wait,lower,30,1113.8054644808742,732.8360655737705,34.20430326984138,28.766012986592838,380.9693989071038,370.17431395038784,242.75955860462494,519.1792392095826,25,5,0,yes,4.330544529520623e-06,1.0291621664440034,0.00021652722647603118,yes
condition,tokyo,6p0,learned_vs_max_pressure,all_model,max_pressure,max_global_wait,lower,30,3851.0333333333333,2796.7,27.377933195419413,16.540798777429913,1054.3333333333333,2080.197791214747,277.6619283046963,1831.0047383619703,21,9,0,yes,0.009535129487995208,0.5068428289781268,0.20023771924789938,no
condition,tokyo,6p0,learned_vs_max_pressure,all_model,max_pressure,recovered_total,lower,30,84.66666666666667,70.06666666666666,17.244094488188985,12.914695811191159,14.6,19.22928800661583,7.420472073918835,21.779527926081165,23,7,0,yes,0.00025964073126054604,0.7592584808640276,0.007529581206555835,yes
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,total_arrived,higher,30,347.1,343.3666666666667,-1.0755786036684956,-1.0119089844681082,-3.7333333333333334,14.49835503947171,-9.146500209419132,1.6798335427524655,12,18,0,no,0.16906182130185143,-0.2575004766519615,1.0,no
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_avg_speed_mps,higher,30,7.1483945797500885,6.940468625970788,-2.9087084024196317,-2.904410823213652,-0.20792595377929998,0.22668004280610007,-0.2925601688917755,-0.12329173866682447,5,25,0,no,2.372432726109951e-05,-0.9172662542558184,0.000925248763182881,no
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_queue,lower,30,38.10437158469946,38.91366120218579,-2.12387603791713,-2.280852286173523,-0.8092896174863389,4.918519823883652,-2.6456888860607752,1.0271096510880975,15,15,0,no,0.37489609199717944,-0.1645392610916277,1.0,no
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_queue,lower,30,90.4,77.76666666666667,13.974926253687322,13.372457765504006,12.633333333333333,13.641931639272157,7.539924303516549,17.726742363150116,24,6,0,yes,2.0749278276269802e-05,0.9260663128500595,0.0008299711310507921,yes
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_wait,lower,30,911.6409836065574,1595.4781420765028,-75.0116735389195,-76.66457405711486,-683.8371584699453,368.68628538537206,-821.491422162741,-546.1828947771496,0,30,0,no,4.607388457408585e-11,-1.8547941314257443,3.4094674584823528e-09,no
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_wait,lower,30,2895.4666666666667,5014.566666666667,-73.18682077730705,-77.22431132423903,-2119.1,1291.444883147127,-2601.2792985969845,-1636.9207014030155,1,29,0,no,7.018274438065395e-10,-1.6408752922044625,4.702243873503815e-08,no
condition,tokyo,6p0,schema_v3_vs_native,schema_v3,native_sumo,recovered_total,lower,30,138.06666666666666,77.73333333333333,43.69869628198938,43.5092699559501,60.333333333333336,18.52553379254834,53.41656204344466,67.25010462322201,30,0,0,yes,3.557222710070169e-17,3.2567662561821376,4.304239479184904e-15,yes
condition,tokyo,6p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,total_arrived,higher,30,350.9,343.3666666666667,-2.146860454070477,-2.01557944287552,-7.533333333333333,17.57100537490833,-14.0937178746161,-0.9729487920505653,9,21,0,no,0.02588970008648415,-0.42873661310758293,0.9320292031134294,no
