scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,mexico_city,6p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_queue,lower,30,278.4,168.0,39.6551724137931,39.43040808693319,110.4,29.77687137638065,99.28238194131268,121.51761805868733,30,0,0,yes,1.0857077986280132e-18,3.7075755409136275,1.2159927344633749e-16,yes
condition,mexico_city,6p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_wait,lower,30,3845.8404371584697,2844.636065573771,26.033435030509143,26.245782535580375,1001.2043715846994,707.4178533072851,737.0798636216048,1265.328879547794,27,3,0,yes,1.5069754029202867e-08,1.4152941813723219,1.009673519956592e-06,yes
condition,mexico_city,6p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_wait,lower,30,10832.933333333332,7626.066666666667,29.60293918544684,29.117449441908832,3206.866666666667,2903.0595125373047,2122.968145090295,4290.765188243038,25,5,0,yes,1.3871451381850111e-06,1.1046506807102385,7.906727287654564e-05,yes
condition,mexico_city,6p0,max_pressure_vs_native,max_pressure,native_sumo,recovered_total,lower,30,799.1666666666666,483.6666666666667,39.4786235662148,39.37025335581182,315.5,56.12224956781155,294.54596062485666,336.45403937514334,30,0,0,yes,1.0564007497639646e-23,5.621656338254701,1.3838849821907935e-21,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,total_arrived,higher,30,598.0333333333333,631.5333333333333,5.60169444289616,5.702073582619038,33.5,25.176275093552,24.100079938130314,42.899920061869686,28,1,1,yes,5.009388625125165e-08,1.3306178088505167,4.157792558853887e-06,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,mean_avg_speed_mps,higher,30,8.020881738767365,8.267720466341618,3.0774512779711842,3.164221484512091,0.24683872757425246,0.2842634925720487,0.14070491322895656,0.35297254191954835,22,8,0,yes,4.9945527646570646e-05,0.8683448069283443,0.0018979300505696844,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_queue,lower,30,90.0967213114754,77.36666666666666,14.129320645086949,13.4839122692085,12.730054644808744,11.051279198167183,8.603902517134374,16.856206772483112,25,5,0,yes,6.843154697291303e-07,1.1519077942506402,4.3111874592935205e-05,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,max_global_queue,lower,30,168.0,142.7,15.059523809523816,14.113654129094458,25.3,26.83043819606947,15.28247463809366,35.31752536190634,26,4,0,yes,1.6043840452492776e-05,0.9429588818160387,0.0007219728203621749,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_wait,lower,30,2844.636065573771,2041.8912568306012,28.219596118396744,24.474734932024283,802.7448087431694,830.7220158711285,492.58293953068323,1112.9066779556556,26,4,0,yes,1.1243465050735548e-05,0.9663218181371767,0.0005396863224353063,yes
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,max_global_wait,lower,30,7626.066666666667,6150.766666666666,19.345490466907364,14.257627015485127,1475.3,2998.4857805002293,355.77272526928346,2594.8272747307165,21,9,0,yes,0.011591088295902012,0.49201500623887556,0.26659503080574626,no
